# Flight: 2026-05-03 10:27:34
# Duration: 384s
# Max height gained: 1 m
# Max speed: 9.1 km/h
# Max climb rate: 1 m/s
# Max amps: 0 A
# Max power: 0 kW
# Total energy: 0.000 Wh
# Efficiency: N/A m/Wh
# Max line out: 571 m
#
timestamp,elapsed_s,state,line_state,line_distance_m,line_speed_ms,gps_dist_m,alt_gain_m,climb_rate_ms,speed_kmh,amps_A,voltage_V,power_kW,energy_Wh,rssi_dBm,snr_dB,lost_pct
2026-05-03T10:27:35.793Z,1.0,0,READY,0,0,0,0,0,0.1,0.0,3.7,0,0,-54,11,0
2026-05-03T10:27:36.792Z,2.0,0,READY,0,0,0,1,1,0.8,0.0,3.7,0,0,-51,10,0
2026-05-03T10:27:37.798Z,3.0,0,READY,0,0,0,1,0,0.4,0.0,3.7,0,0,-43,10,0
2026-05-03T10:27:38.793Z,4.0,0,READY,0,0,1,1,0,0.8,0.0,3.7,0,0,-55,10,0
2026-05-03T10:27:39.792Z,5.0,0,READY,0,0,1,1,0,2.6,0.0,3.7,0,0,-51,10,0
2026-05-03T10:27:40.793Z,6.0,0,READY,0,0,1,1,0,0.8,0.0,3.7,0,0,-54,10,0
2026-05-03T10:27:41.791Z,7.0,0,READY,0,0,1,1,0,0.4,0.0,3.7,0,0,-59,10,0
2026-05-03T10:27:42.792Z,8.0,0,READY,0,0,1,1,0,0.1,0.0,3.7,0,0,-59,10,0
2026-05-03T10:27:43.792Z,9.0,0,READY,0,0,1,1,0,0.3,0.0,3.7,0,0,-58,11,0
2026-05-03T10:27:44.793Z,10.0,0,READY,0,0,1,1,0,0.1,0.0,3.7,0,0,-58,10,0
2026-05-03T10:27:45.798Z,11.0,0,READY,0,0,1,0,-0.99,0.6,0.0,3.7,0,0,-59,9,0
2026-05-03T10:27:46.792Z,12.0,0,READY,0,0,1,0,0,0.4,0.0,3.7,0,0,-67,10,0
2026-05-03T10:27:47.791Z,13.0,0,READY,0,0,1,0,0,0.6,0.0,3.7,0,0,-55,10,0
2026-05-03T10:27:48.791Z,14.0,0,READY,0,0,1,0,0,0.7,0.0,3.7,0,0,-59,11,0
2026-05-03T10:27:49.792Z,15.0,0,READY,0,0,1,0,0,0.1,0.0,3.7,0,0,-59,11,0
