# Flight: 2026-08-03 13:04:49
# Duration: 396s
# Max height gained: 1 m
# Max speed: 8.0 km/h
# Max climb rate: 1 m/s
# Max amps: 50 A
# Max power: 0.185 kW
# Total energy: 0.005 Wh
# Efficiency: 184 m/Wh
# Max line out: 534 m
#
timestamp,elapsed_s,state,line_state,line_distance_m,line_speed_ms,gps_dist_m,alt_gain_m,climb_rate_ms,speed_kmh,amps_A,voltage_V,power_kW,energy_Wh,rssi_dBm,snr_dB,lost_pct
2026-08-03T13:04:50.939Z,1.0,0,ARMED,488,0,514,0,0,0.1,50.0,3.7,0.185,0.0001,-108,5,10
2026-08-03T13:04:51.939Z,2.0,0,ARMED,488,0,514,0,0,3.3,50.0,3.7,0.185,0.0001,-108,5,10
2026-08-03T13:04:52.939Z,3.0,0,ARMED,488,0,513,0,0,0.2,50.0,3.7,0.185,0.0002,-108,5,10
2026-08-03T13:04:53.939Z,4.0,0,ARMED,488,0,514,0,0,1.5,50.0,3.7,0.185,0.0002,-108,5,10
2026-08-03T13:04:54.939Z,5.0,0,ARMED,488,0,514,0,0,1.4,50.0,3.7,0.185,0.0003,-108,5,10
2026-08-03T13:04:55.939Z,6.0,0,ARMED,488,0,514,0,0,2.1,50.0,3.7,0.185,0.0003,-108,5,10
2026-08-03T13:04:56.938Z,7.0,0,ARMED,488,0,514,0,0,0.4,50.0,3.7,0.185,0.0004,-108,5,10
2026-08-03T13:04:57.939Z,8.0,0,ARMED,488,0,514,0,0,1.6,50.0,3.7,0.185,0.0004,-108,5,10
2026-08-03T13:04:58.939Z,9.0,0,ARMED,488,0,513,0,0,0.9,50.0,3.7,0.185,0.0005,-108,5,10
2026-08-03T13:04:59.938Z,10.0,0,ARMED,488,0,513,0,0,0.6,50.0,3.7,0.185,0.0005,-108,5,10
2026-08-03T13:05:00.939Z,11.0,0,ARMED,488,0,513,1,1,2.0,50.0,3.7,0.185,0.0006,-108,5,10
2026-08-03T13:05:01.939Z,12.0,0,ARMED,488,0,513,1,0,2.9,50.0,3.7,0.185,0.0006,-108,5,10
2026-08-03T13:05:02.939Z,13.0,0,ARMED,488,0,513,1,0,1.7,50.0,3.7,0.185,0.0007,-108,5,10
2026-08-03T13:05:03.939Z,14.0,0,ARMED,488,0,512,1,0,0.3,50.0,3.7,0.185,0.0007,-108,5,10
2026-08-03T13:05:04.939Z,15.0,0,ARMED,488,0,512,1,0,1.3,50.0,3.7,0.185,0.0008,-108,5,10
2026-08-03T13:05:05.939Z,16.0,0,ARMED,488,0,512,1,0,1.3,50.0,3.7,0.185,0.0008,-108,5,10
2026-08-03T13:05:06.939Z,17.0,0,ARMED,488,0,513,1,0,3.4,50.0,3.7,0.185,0.0009,-108,5,10
2026-08-03T13:05:07.939Z,18.0,0,ARMED,488,0,514,1,0,1.2,50.0,3.7,0.185,0.0009,-108,5,10
2026-08-03T13:05:08.939Z,19.0,0,ARMED,488,0,514,1,0,0.9,50.0,3.7,0.185,0.001,-108,5,10
2026-08-03T13:05:09.939Z,20.0,0,ARMED,488,0,514,1,0,0.2,50.0,3.7,0.185,0.001,-108,5,10
2026-08-03T13:05:10.939Z,21.0,0,ARMED,488,0,513,1,0,2.3,50.0,3.7,0.185,0.0011,-108,5,10
2026-08-03T13:05:11.939Z,22.0,0,ARMED,488,0,513,1,0,1.1,50.0,3.7,0.185,0.0011,-108,5,10
2026-08-03T13:05:12.939Z,23.0,0,ARMED,488,0,513,1,0,0.4,50.0,3.7,0.185,0.0012,-108,5,10
2026-08-03T13:05:13.939Z,24.0,0,ARMED,488,0,513,1,0,0.5,50.0,3.7,0.185,0.0012,-108,5,10
2026-08-03T13:05:14.939Z,25.0,0,ARMED,488,0,513,1,0,0.2,50.0,3.7,0.185,0.0013,-108,5,10
2026-08-03T13:05:15.939Z,26.0,0,ARMED,488,0,513,0,-1,1.4,50.0,3.7,0.185,0.0013,-108,5,10
2026-08-03T13:05:16.939Z,27.0,0,ARMED,488,0,512,1,1,1.8,50.0,3.7,0.185,0.0014,-108,5,10
2026-08-03T13:05:17.939Z,28.0,0,ARMED,488,0,512,1,0,2.5,50.0,3.7,0.185,0.0014,-108,5,10
2026-08-03T13:05:18.939Z,29.0,0,ARMED,488,0,512,1,0,1.5,50.0,3.7,0.185,0.0015,-108,5,10
2026-08-03T13:05:19.939Z,30.0,0,ARMED,488,0,512,0,-1,0.9,50.0,3.7,0.185,0.0015,-108,5,10
